Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Vehicle_or_Property_Age,Claim_History,Fraudulent_Claim,Premium_Amount,Claim_Amount,Risk_Score
PLCY100000,43,Female,Auto,20555.17,1.2,0,0,378.96,201.18,Low
PLCY100001,47,Male,Health,24859.15,4.0,0,0,504.34,473.18,Medium
PLCY100002,38,Female,Health,10803.51,6.5,0,0,269.97,412.07,Low
PLCY100003,34,Male,Property,33232.13,2.6,0,0,238.96,467.02,Low
PLCY100004,46,Male,Health,23997.0,0.3,0,0,276.97,255.2,Low
PLCY100005,50,Male,Property,15701.93,0.0,2,0,630.58,1044.81,Medium
PLCY100006,41,Male,Health,35874.16,2.6,0,0,596.4,405.19,Medium
PLCY100007,50,Female,Auto,5943.94,0.2,0,0,341.1,331.39,Low
PLCY100008,55,Male,Health,16998.24,2.4,0,0,1045.77,1783.57,High
PLCY100009,41,Female,Life,15505.86,1.8,0,0,583.62,297.9,Medium
PLCY100010,33,Female,Health,,5.1,1,1,204.06,509.53,Low
PLCY100011,37,Male,Health,20006.64,1.1,0,0,1015.08,1530.95,High
PLCY100012,54,Female,Auto,,0.7,2,0,304.98,462.46,Low
PLCY100013,31,Female,Health,13908.95,19.3,0,0,377.5,712.36,Low
PLCY100014,40,Male,Health,42343.55,0.7,2,0,938.15,1490.66,High
PLCY100015,22,Female,Health,25502.61,0.0,0,0,264.28,390.59,Low
PLCY100016,51,Female,Life,14612.88,7.5,0,0,255.52,500.7,Low
PLCY100017,28,Female,Auto,19296.36,1.5,1,0,436.01,640.15,Low
PLCY100018,35,Male,Property,31476.62,3.9,5,1,957.66,4289.34,High
PLCY100019,19,Female,Auto,14158.51,6.7,9,0,307.69,558.78,Low
PLCY100020,21,Female,Life,13781.57,14.1,3,0,328.54,510.21,Low
PLCY100021,51,Male,Health,,4.4,0,0,304.09,165.96,Low
PLCY100022,38,Female,Health,12850.37,6.8,0,0,407.2,647.1,Low
PLCY100023,45,Female,Health,14820.1,0.2,5,0,594.26,661.67,Medium
PLCY100024,59,Female,Health,26970.28,,1,0,224.03,231.64,Low
PLCY100025,32,Male,Health,27499.13,4.5,0,0,338.73,257.37,Low
PLCY100026,32,Male,Auto,23514.45,4.9,2,0,609.95,329.23,Medium
PLCY100027,30,Male,Auto,63992.21,19.9,0,1,,1971.99,High
PLCY100028,41,Male,Health,16133.45,13.0,0,0,617.85,891.81,Medium
PLCY100029,29,Male,Health,32004.98,30.0,0,0,330.52,334.22,Low
PLCY100030,47,Male,Property,33082.34,4.9,2,0,316.21,608.99,Low
PLCY100031,36,Male,Health,39302.97,11.0,1,0,339.58,199.11,Low
PLCY100032,28,Male,Life,18756.71,6.7,0,0,276.45,173.41,Low
PLCY100033,40,Female,Property,15379.3,,0,0,289.33,192.92,Low
PLCY100034,41,Female,Auto,14565.11,22.9,0,0,311.2,190.05,Low
PLCY100035,38,Female,Auto,64640.16,6.1,3,0,261.63,503.8,Low
PLCY100036,27,Male,Health,16322.56,6.1,0,1,1017.09,2627.5,High
PLCY100037,60,Female,Life,11383.08,18.9,2,0,391.57,416.9,Low
PLCY100038,18,Female,Life,43344.55,12.8,0,0,300.26,496.47,Low
PLCY100039,38,Male,Health,23391.96,1.8,1,0,625.72,419.44,Medium
PLCY100040,52,Female,Auto,22782.76,14.6,0,0,,517.05,Low
PLCY100041,54,Male,Auto,12189.99,16.4,0,0,198.04,216.82,Low
PLCY100042,18,Male,Property,21423.12,4.7,0,0,618.33,477.86,Medium
PLCY100043,26,Female,Health,16896.66,1.4,0,0,260.36,210.76,Low
PLCY100044,29,Female,Property,24513.76,0.4,0,0,573.47,605.42,Medium
PLCY100045,31,Male,Auto,29386.14,5.0,0,0,315.56,409.89,Low
PLCY100046,30,Male,Life,12825.95,6.3,1,0,603.87,833.5,Medium
PLCY100047,27,Male,Health,34999.49,3.1,8,0,695.47,453.91,Medium
PLCY100048,30,Male,Life,14299.85,0.6,0,1,288.05,1409.47,Low
PLCY100049,27,Male,Auto,23148.06,5.9,0,0,637.57,628.34,Medium
PLCY100050,41,Male,Auto,14014.41,1.2,0,0,256.98,152.92,Low
PLCY100051,33,Male,Auto,28707.17,4.5,0,0,372.08,649.63,Low
PLCY100052,39,Female,Life,20376.99,1.1,1,0,319.72,478.88,Low
PLCY100053,32,Male,Life,7950.08,4.3,0,0,549.6,466.24,Medium
PLCY100054,40,Male,Property,32384.42,6.9,0,0,331.64,610.5,Low
PLCY100055,65,Male,Auto,22828.91,10.1,2,0,276.12,183.88,Low
PLCY100056,32,Male,Auto,26599.57,8.9,1,0,561.31,433.55,Medium
PLCY100057,23,Male,Property,25336.07,4.9,1,0,243.73,462.64,Low
PLCY100058,28,Female,Auto,27881.93,3.9,1,1,950.52,4702.17,High
PLCY100059,36,Female,Auto,9449.98,0.4,0,0,676.48,676.65,Medium
PLCY100060,22,Female,Auto,11527.15,1.8,0,0,165.16,309.22,Low
PLCY100061,37,Male,Auto,19255.57,0.6,10,0,244.67,146.95,Low
PLCY100062,31,Male,Auto,16756.99,5.8,0,0,467.45,514.73,Medium
PLCY100063,51,Female,Property,10897.01,,0,0,261.11,410.98,Low
PLCY100064,46,Male,Health,12524.9,11.3,0,0,587.98,931.01,Medium
PLCY100065,33,Female,Health,29630.24,0.1,0,0,284.52,219.69,Low
PLCY100066,31,Male,Health,37216.39,6.2,0,0,495.9,466.99,Medium
PLCY100067,58,Female,Auto,23321.1,3.9,0,0,307.52,445.97,Low
PLCY100068,38,Male,Health,26207.24,0.1,3,0,,473.29,Low
PLCY100069,18,Male,Property,25034.62,6.4,1,0,,393.87,Low
PLCY100070,44,Male,Auto,15323.27,2.0,0,0,251.21,339.03,Low
PLCY100071,50,Female,Health,16517.59,4.8,0,0,306.1,201.99,Low
PLCY100072,30,Male,Life,54514.62,11.2,1,0,263.64,494.58,Low
PLCY100073,35,Male,Auto,26638.13,11.5,1,0,630.53,551.4,Medium
PLCY100074,43,Male,Auto,24436.76,17.3,0,0,598.02,1072.29,Medium
PLCY100075,46,Male,Auto,17725.36,0.6,1,0,284.54,170.16,Low
PLCY100076,50,Female,Auto,10479.96,1.9,0,0,604.11,1153.01,Medium
PLCY100077,50,Female,Auto,69525.51,14.5,7,0,581.86,658.69,Medium
PLCY100078,21,Male,Health,13914.32,0.3,0,0,1077.53,891.53,High
PLCY100079,26,Male,Life,21488.39,6.7,0,0,1033.74,1978.68,High
PLCY100080,30,Male,Health,16890.41,10.6,0,1,371.03,1460.4,Low
PLCY100081,31,Male,Auto,47750.87,0.7,2,0,389.79,714.53,Low
PLCY100082,45,Male,Auto,60180.42,3.3,0,0,574.12,1020.1,Medium
PLCY100083,40,Female,Health,30975.31,2.2,2,0,692.34,1229.51,Medium
PLCY100084,50,Female,Life,39523.38,1.2,2,0,591.64,593.22,Medium
PLCY100085,39,Female,Auto,24234.91,7.0,0,0,602.32,1005.73,Medium
PLCY100086,36,Female,Property,25324.07,0.8,3,0,653.68,392.88,Medium
PLCY100087,25,Male,Life,16656.22,9.9,0,0,318.86,393.14,Low
PLCY100088,20,Male,Life,7336.35,8.3,0,0,235.98,454.57,Low
PLCY100089,48,Male,Auto,,28.9,0,0,565.4,463.43,Medium
PLCY100090,37,Female,Health,,14.2,1,0,632.14,440.52,Medium
PLCY100091,53,Female,Auto,15706.09,1.6,0,0,390.05,352.41,Low
PLCY100092,32,Female,Health,6555.5,8.3,2,0,551.65,476.11,Medium
PLCY100093,37,Female,Auto,19722.55,2.8,0,0,301.34,165.68,Low
PLCY100094,59,Female,Health,30346.04,1.3,0,0,602.98,942.81,Medium
PLCY100095,30,Male,Life,42561.15,4.2,1,0,309.88,192.88,Low
PLCY100096,34,Female,Health,27230.23,1.4,1,0,686.38,578.4,Medium
PLCY100097,43,Male,Auto,19366.73,14.2,1,0,,526.33,Medium
PLCY100098,40,Male,Auto,37180.85,4.7,2,0,1032.62,1929.5,High
PLCY100099,19,Female,Health,28198.25,1.4,0,0,1013.03,1804.79,High
PLCY100100,47,Male,Auto,5301.41,1.2,0,0,935.27,1552.74,High
PLCY100101,51,Male,Health,22888.98,2.9,2,0,235.85,336.26,Low
PLCY100102,34,Female,Life,62216.41,,2,0,296.42,384.38,Low
PLCY100103,37,Male,Property,22909.74,0.3,0,1,900.09,1365.7,High
PLCY100104,49,Male,Auto,5176.44,1.1,0,0,330.64,646.36,Low
PLCY100105,25,Female,Health,34031.23,,1,0,324.78,585.69,Low
PLCY100106,51,Male,Auto,39875.41,3.5,1,0,296.79,536.04,Low
PLCY100107,41,Female,Auto,39924.09,11.5,1,0,,930.06,Medium
PLCY100108,24,Male,Auto,10721.16,3.4,0,0,382.1,546.11,Low
PLCY100109,50,Male,Auto,10995.2,6.1,0,0,,890.23,Medium
PLCY100110,47,Male,Property,25351.56,0.4,3,0,215.35,199.7,Low
PLCY100111,36,Male,Auto,13429.19,3.7,0,0,347.04,267.97,Low
PLCY100112,18,Female,Auto,27453.18,11.5,0,0,306.11,529.2,Low
PLCY100113,44,Female,Auto,11826.15,10.6,0,0,565.35,848.77,Medium
PLCY100114,23,Female,Life,25717.07,1.7,0,0,348.19,295.24,Low
PLCY100115,64,Other,Health,14737.68,3.9,1,1,681.96,1329.4,Medium
PLCY100116,33,Male,Life,19894.72,1.5,0,0,301.7,181.45,Low
PLCY100117,28,Female,Auto,8128.5,2.8,1,0,1018.7,1361.67,High
PLCY100118,44,Male,Auto,22879.64,1.6,0,0,263.22,394.14,Low
PLCY100119,52,Male,Health,40398.54,5.2,1,0,307.09,212.37,Low
PLCY100120,28,Male,Property,11320.65,5.6,0,0,319.43,600.24,Low
PLCY100121,67,Male,Property,22946.36,,2,0,595.06,1002.7,Medium
PLCY100122,44,Male,Property,14055.46,7.2,2,0,298.75,421.05,Low
PLCY100123,47,Male,Health,16240.18,0.2,0,0,990.65,1930.51,High
PLCY100124,26,Female,Health,20495.41,,1,0,289.33,169.91,Low
PLCY100125,55,Other,Health,16208.62,8.2,0,1,284.88,1238.91,Low
PLCY100126,18,Male,Life,,4.2,0,0,327.07,540.96,Low
PLCY100127,47,Male,Health,16762.14,5.4,0,0,319.59,627.61,Low
PLCY100128,39,Male,Life,13540.84,0.7,0,0,291.35,309.95,Low
PLCY100129,58,Female,Property,15763.68,8.2,0,0,352.0,196.29,Low
PLCY100130,46,Female,Auto,25582.05,0.5,0,0,400.67,225.38,Low
PLCY100131,39,Male,Health,11231.04,3.0,1,0,551.42,419.72,Medium
PLCY100132,49,Female,Health,15087.21,1.6,0,0,622.79,350.59,Medium
PLCY100133,63,Female,Auto,47298.52,11.7,1,0,325.39,615.68,Low
PLCY100134,62,Female,Health,12687.8,0.9,0,0,643.02,1152.33,Medium
PLCY100135,31,Female,Auto,28155.2,,1,0,336.74,665.74,Low
PLCY100136,42,Female,Health,15903.93,4.9,2,0,612.04,579.19,Medium
PLCY100137,69,Female,Life,20553.2,0.1,0,1,538.79,995.21,Medium
PLCY100138,58,Female,Health,26831.61,3.1,1,0,260.76,505.12,Low
PLCY100139,45,Male,Life,,15.2,0,0,280.02,432.19,Low
PLCY100140,31,Female,Health,79149.97,6.1,0,0,351.2,317.74,Low
PLCY100141,45,Male,Health,31200.63,,0,0,347.77,345.09,Low
