,Customer_Age,Annual_Income,Vehicle_or_Property_Age,Claim_History,Fraudulent_Claim,Premium_Amount,Claim_Amount,Claim_Income_Ratio,Premium_Income_Ratio,High_Claim,Claim_Premium_Diff,Gender_Male,Gender_Other,Policy_Type_Health,Policy_Type_Life,Policy_Type_Property,Age_Group_Adult,Age_Group_Mid-Age,Age_Group_Senior,Risk_Score_Label
0,43,20555.17,1.2,0,0,378.96,201.18,0.009787318713491547,0.018436237695917866,False,-177.77999999999997,0,0,0,0,0,0,1,0,0
1,47,24859.15,4.0,0,0,504.34,473.18,0.01903444003515808,0.020287902040093887,True,-31.159999999999968,1,0,1,0,0,0,1,0,1
2,38,10803.51,6.5,0,0,269.97,412.07,0.0381422334037734,0.02498910076447377,False,142.09999999999997,0,0,1,0,0,1,0,0,0
3,34,33232.13,2.6,0,0,238.96,467.02,0.014053267124316137,0.007190631476224968,False,228.05999999999997,1,0,0,0,1,1,0,0,0
4,46,23997.0,0.3,0,0,276.97,255.2,0.010634662666166604,0.011541859399091555,False,-21.77000000000004,1,0,1,0,0,0,1,0,0
5,50,15701.93,0.0,2,0,630.58,1044.81,0.06654022785733983,0.040159394418393154,True,414.2299999999999,1,0,0,0,1,0,1,0,1
6,41,35874.16,2.6,0,0,596.4,405.19,0.01129475923617445,0.016624779507032356,False,-191.20999999999998,1,0,1,0,0,0,1,0,1
7,50,5943.94,0.2,0,0,341.1,331.39,0.055752581620945034,0.05738617819156991,False,-9.710000000000036,0,0,0,0,0,0,1,0,0
9,41,15505.86,1.8,0,0,583.62,297.9,0.019212091428659872,0.037638673378967695,False,-285.72,0,0,0,1,0,0,1,0,1
10,33,21921.825,5.1,1,1,204.06,509.53,0.023243046598538212,0.009308531566144697,True,305.46999999999997,0,0,1,0,0,1,0,0,0
12,54,21921.825,0.7,2,0,304.98,462.46,0.021095871351951765,0.01391216287877492,False,157.47999999999996,0,0,0,0,0,0,1,0,0
15,22,25502.61,0.0,0,0,264.28,390.59,0.015315687296319866,0.0103628608993354,False,126.31,0,0,1,0,0,0,0,0,0
16,51,14612.88,7.5,0,0,255.52,500.7,0.03426429287039927,0.017485943907019016,True,245.17999999999998,0,0,0,1,0,0,1,0,0
17,28,19296.36,1.5,1,0,436.01,640.15,0.033174650555856125,0.022595453235739797,True,204.14,0,0,0,0,0,1,0,0,0
21,51,21921.825,4.4,0,0,304.09,165.96,0.0075705375806986875,0.01387156406914114,False,-138.12999999999997,1,0,1,0,0,0,1,0,0
22,38,12850.37,6.8,0,0,407.2,647.1,0.05035652669923123,0.03168780354184354,True,239.90000000000003,0,0,1,0,0,1,0,0,0
